D.Gy	Survival	Sur.min	Sur.max	Sur.Err
01   0.0    1.000e+2   1.00e+2   1.00e+2   1.00e+0
02   0.5    6.880e+1   6.00e+1   7.55e+1   8.80e+0
03   1.0    5.000e+1   4.14e+1   5.78e+1   8.60e+0
04   1.5    4.280e+1   3.51e+1   4.96e+1   7.69e+0
05   2.4    2.370e+1   2.28e+1   2.50e+1   0.90e+0
06   3.2    1.200e+1   0.84e+1   1.58e+1   3.64e+0
07   4.8    0.326e+1   0.25e+1   0.40e+1   0.76e+0
08   6.0    0.100e+1   0.09e+1   0.11e+1   0.01e+0
