D.Gy	Survival	Sur.min	Sur.max	Sur.Err Z beta zzbb LET Init.Energy
    47	   0.97   3.040e+1   2.63e+1   3.57e+1   4.10e+0   6.0      3.444e-1    303.47    380.0    135.0
    48	   1.46   1.850e+1   1.70e+1   2.01e+1   1.50e+0   6.0      3.444e-1    303.47    380.0    135.0
    49	   1.94   1.070e+1   0.93e+1   1.22e+1   1.43e+0   6.0      3.444e-1    303.47    380.0    135.0
    50	   2.91   0.350e+1   0.30e+1   0.40e+1   0.50e+0   6.0      3.444e-1    303.47    380.0    135.0
    51	   3.88   0.128e+1   0.11e+1   0.15e+1   0.18e+0   6.0      3.444e-1    303.47    380.0    135.0
    52	   0.0    1.000e+2   1.00e+2   1.00e+2   1.00e+0   6.0      2.776e-1   466.98     550.0    135.0
    53	   0.36   5.780e+1   5.90e+1   5.60e+1   5.00e+0   6.0      2.776e-1   466.98     550.0    135.0
    54	   0.926  3.250e+1   2.96e+1   3.62e+1   2.90e+0   6.0      2.776e-1   466.98     550.0    135.0
    55	   1.38   1.960e+1   1.80e+1   2.12e+1   1.60e+0   6.0      2.776e-1   466.98     550.0    135.0
    56	   1.85   1.080e+1   0.93e+1   1.23e+1   1.50e+0   6.0      2.776e-1   466.98     550.0    135.0
    57	   2.8    0.310e+1   0.27e+1   0.35e+1   0.40e+0   6.0      2.776e-1   466.98     550.0    135.0
    58	   0.0    1.000e+2   1.00e+2   1.00e+2   1.00e+0   6.0      2.162e-1   769.61     840.0    135.0
    59	   0.29   4.200e+1   3.60e+1   4.60e+1   6.00e+0   6.0      2.162e-1   769.61     840.0    135.0
    60	   0.736  1.760e+1   1.58e+1   1.93e+1   1.80e+0   6.0      2.162e-1   769.61     840.0    135.0
    61	   1.12   0.740e+1   0.67e+1   0.81e+1   0.70e+0   6.0      2.162e-1   769.61     840.0    135.0
    62	   0.0    1.000e+2   1.00e+2   1.00e+2   1.00e+0   6.0      2.061e-1   846.74     910.0    135.0
    63	   0.26   5.120e+1   4.73e+1   5.33e+1   3.90e+0   6.0      2.061e-1   846.74     910.0    135.0
