***********************************
* dE/dx data from Fluka 2011.2b-3
* for PROTON (Z=1), 4-HELIUM (Z=2)
* and HEAVYION (Z>=3)
* for WATER, but with customized
* I-value (76.8 eV)
*
* SG, 2015-01-15
***********************************
Z E.MeV.u dE.dx.MeV.cm2.g
1 5.48E+01 1.15E+00
1 5.68E+01 1.12E+00
1 5.89E+01 1.09E+00
1 6.11E+01 1.06E+00
1 6.33E+01 1.03E+00
1 6.56E+01 1.00E+00
1 6.80E+01 9.74E-01
1 7.04E+01 9.48E-01
1 7.30E+01 9.22E-01
1 7.56E+01 8.97E-01
1 7.84E+01 8.73E-01
1 8.12E+01 8.50E-01
1 8.41E+01 8.27E-01
1 8.71E+01 8.05E-01
1 9.03E+01 7.84E-01
1 9.35E+01 7.64E-01
1 9.69E+01 7.44E-01
1 1.00E+02 7.25E-01
1 1.04E+02 7.06E-01
1 1.08E+02 6.88E-01
1 1.11E+02 6.71E-01
1 1.15E+02 6.54E-01
1 1.20E+02 6.38E-01
1 1.24E+02 6.22E-01
1 1.28E+02 6.06E-01
1 1.33E+02 5.92E-01
1 1.37E+02 5.77E-01
1 1.42E+02 5.64E-01
1 1.47E+02 5.50E-01
1 1.52E+02 5.37E-01
1 1.58E+02 5.25E-01
1 1.63E+02 5.13E-01
1 1.69E+02 5.01E-01
1 1.75E+02 4.90E-01
1 1.81E+02 4.79E-01
1 1.87E+02 4.68E-01
1 1.93E+02 4.58E-01
1 2.00E+02 4.48E-01
1 2.07E+02 4.39E-01
1 2.14E+02 4.29E-01
1 2.21E+02 4.21E-01
1 2.28E+02 4.12E-01
1 2.36E+02 4.04E-01
1 2.44E+02 3.96E-01
1 2.52E+02 3.88E-01
1 2.61E+02 3.80E-01
1 2.70E+02 3.73E-01
1 2.78E+02 3.66E-01
1 2.88E+02 3.59E-01
1 2.97E+02 3.53E-01
1 3.07E+02 3.47E-01
1 3.17E+02 3.41E-01
1 3.27E+02 3.35E-01
1 3.38E+02 3.29E-01
1 3.49E+02 3.24E-01
1 3.60E+02 3.18E-01
1 3.72E+02 3.13E-01
1 3.84E+02 3.09E-01
1 3.96E+02 3.04E-01
1 4.09E+02 2.99E-01
1 4.22E+02 2.95E-01
1 4.35E+02 2.91E-01
1 4.49E+02 2.87E-01
1 4.63E+02 2.83E-01
1 4.77E+02 2.79E-01
1 4.92E+02 2.75E-01
1 5.08E+02 2.72E-01
1 5.23E+02 2.69E-01
1 5.39E+02 2.65E-01
1 5.56E+02 2.62E-01
1 5.73E+02 2.59E-01
1 5.90E+02 2.57E-01
1 6.08E+02 2.54E-01
1 6.26E+02 2.51E-01
1 6.45E+02 2.49E-01
1 6.64E+02 2.46E-01
1 6.84E+02 2.44E-01
1 7.04E+02 2.42E-01
1 7.24E+02 2.39E-01
1 7.46E+02 2.37E-01
1 7.67E+02 2.35E-01
1 7.89E+02 2.34E-01
1 8.12E+02 2.32E-01
1 8.35E+02 2.30E-01
1 8.59E+02 2.28E-01
1 8.84E+02 2.27E-01
1 9.09E+02 2.25E-01
1 9.34E+02 2.24E-01
1 9.60E+02 2.23E-01
1 9.87E+02 2.21E-01
1 1.02E+03 2.20E-01
1 1.04E+03 2.18E-01
1 1.07E+03 2.17E-01
1 1.10E+03 2.16E-01
1 1.13E+03 2.15E-01
1 1.16E+03 2.14E-01
1 1.19E+03 2.13E-01
1 1.23E+03 2.12E-01
1 1.26E+03 2.11E-01
1 1.29E+03 2.10E-01
1 1.33E+03 2.09E-01
